Model,Company,Color,Type,Average Rating,Number of Ratings,Selling Price,Maximum Retail Price,Discount
Hypex Stylish Wired Headphone With High Bass Sound & Mi...,Hypex,Multicolor, On the Ear,3.3,69,199,2499,2300
iball Nano Earwear Ring-dock B9 Bluetooth Headset,iball,Black, In the Ear,3.7,0,1079,1845,766
iBAss 3.5MM Deep Bass For O_PPO Reno Series Wired Gamin...,iBAss,White, In the Ear,4.1,375,259,1499,1240
icall BBD-S650 One side Earbuds (With Charging Cable) B...,icall,Black, True Wireless,4.2,74477,208,599,391
icall BBD-S650 One side Earbuds (With Charging Cable) B...,icall,Black, True Wireless,3.5,17,208,1025,817
icall BestSound Latest P47 With Mic With 6 Hour Battery...,icall,Multicolor, On the Ear,4.3,47,420,1999,1579
icall BBD-S650 Mini Bluetooth or K1 Bluetooth Headset,icall,Black, True Wireless,4,6,299,999,700
icall BBD-Mini S650 Wireless Bluetooth in-Ear V4.0 with...,icall,Black, True Wireless,3.1,56,349,999,650
icall X9 earbuds bluetooth earphones single side Blueto...,icall,Black, True Wireless,3.5,1169,392,999,607
IMMUTABLE 98T4 _ Wireless Neckband Bluetooth Earphone H...,IMMUTABLE,Black, Yellow,4,5,238,3499,3261
IMS TWS i12 Earpods Bluetooth Wireless Earbuds Bluetoot...,IMS,White, True Wireless,3.7,256,499,1299,800
INFINITY (JBL) Glide N120 Bluetooth Headset,INFINITY,Black, Red,4.1,122548,1499,3999,2500
INFINITY (JBL) Glide N120 Bluetooth Headset,INFINITY,Black, Yellow,4.1,122548,1499,3999,2500
INFINITY by Harman Glide 501 Bluetooth Headset,INFINITY,Black, On the Ear,3.3,1842,1479,4999,3520
InOne High bass Wireless earphone with Magnetic buds an...,InOne,Red, In the Ear,5,3,699,1599,900
ISC BUDS LIVE IN Black with Charging Case(Black) Blueto...,ISC,Black, True Wireless,3.4,350,999,1999,1000
Jabra Talk 15 Bluetooth Headset,Jabra,Black, In the Ear,3.5,0,1349,1899,550
Jabra Elite Active 65t Copper Bluetooth Headset,Jabra,Blue, True Wireless,3.8,9600,4999,16999,12000
Duet JBL Mini Bluetooth Headset,JBL,Black, In the Ear,3.6,26,239,999,760
JBL C150SI Wired Headset,JBL,Black, In the Ear,4.2,334732,649,1399,750
JBL Tune 125BT Bluetooth Headset,JBL,Black, In the Ear,3.8,13159,1614,1999,385
JBL C150SI Wired Headset,JBL,Red, In the Ear,4.3,9,649,7999,7350
JBL C100TWS True Wireless with Google Assistant Bluetoo...,JBL,Black, True Wireless,3.7,501,2499,999,-1500
JBL C150SI Wired Headset,JBL,Red, In the Ear,4.2,334732,649,1399,750
JBL C100TWS True Wireless with Google Assistant Bluetoo...,JBL,Black, True Wireless,3.9,73755,2499,7999,5500
JBL Endurance Run Wired Headset,JBL,Black, In the Ear,3.6,91,999,1599,600
JBL Tune 125BT Bluetooth Headset,JBL,Blue, In the Ear,3.8,13159,1614,2999,1385
JBL Endurance Run Wired Headset,JBL,Yellow, In the Ear,4,1934,990,1599,609
JBL T450BT Extra Bass Bluetooth Headset,JBL,Black, On the Ear,4.2,74477,2374,3499,1125
JBL T450BT Extra Bass Bluetooth Headset,JBL,Black, On the Ear,3.3,119,2374,4999,2625
JBL T165BT Bluetooth Headset,JBL,Black, In the Ear,3.8,3871,1699,2699,1000
JBL Endurance RunBT IPX5 Sports Bluetooth Headset,JBL,Black, Grey,5,0,2499,3199,700
JBL Endurance Run Wired Headset,JBL,Red, In the Ear,3.8,13159,1099,1599,500
JBL Tune 125BT Bluetooth Headset,JBL,Grey, In the Ear,3.3,1842,1614,2999,1385
JBL Quantum 100 Wired Gaming Headset,JBL,Blue, On the Ear,4,1431,2599,3999,1400
JBL Endurance Run Wired Headset,JBL,Blue, In the Ear,4.3,36720,1069,1599,530
JBL T50HI Wired Headset,JBL,Red, In the Ear,3.3,26491,549,999,450
JBL Live 100BT Bluetooth Headset,JBL,Black, In the Ear,4,333036,1688,2999,1311
JBL Endurance Run Wired Headset,JBL,Blue, In the Ear,3.5,2169,1069,1599,530
JBL T110BT Wireless Pure Bass Bluetooth Headset,JBL,Grey, In the Ear,3.9,3034,1648,2990,1342
JBL Wave 100TWS Bluetooth Headset,JBL,Black, True Wireless,3.8,1488,3999,6999,3000
JBL T50HI Wired Headset,JBL,Red, In the Ear,3.5,573,549,999,450
JOCOBOO Wireless Sweatproof Stereo Headphone Best Buy B...,JOCOBOO,Black, In the Ear,3.5,0,255,1599,1344
JOCOBOO Wireless Sweatproof Stereo Headphone Best Buy B...,JOCOBOO,Black, In the Ear,4,4689,255,1599,1344
JOCOBOO sports wireless SH12 STEREO headphone and wired...,JOCOBOO,Red, White,3.9,27565,549,1999,1450
JOCOBOO in pods 12 pro Bluetooth Headset,JOCOBOO,matt black, True Wireless,4,2834,549,1299,750
kabeer enterprises WIRELESS BLUETOOTH HEADSET WITH CHAR...,kabeer,White, True Wireless,4.3,405112,360,1299,939
kabeer enterprises WIRELESS BLUETOOTH HEADSET WITH CHAR...,kabeer,White, True Wireless,3.7,18513,360,1299,939
kabeer enterprises Best Extra bass Headphones Over The ...,kabeer,Black, On the Ear,3.7,31,241,1299,1058
KASODH B0T-1 Bluetooth Headset,KASODH,Red, Black,4,7195,298,1999,1701
KAWL EP61_WT_Wired Earphones_with HD Microphone Wired H...,KAWL,White, In the Ear,4,819,88,399,311
"KAWL KEP161 Octave Wired Earphone, Call Answer HD Sound...",KAWL,Red, In the Ear,3.6,1904,199,799,600
KBOOM New Arival HBS-730 Unique Ring-necked Wireless St...,KBOOM,Multicolor, In the Ear,3.4,7605,260,1800,1540
KDM M-8 Wired Headset,KDM,Black, Silver,3.5,3703,249,599,350
KDM A-2 Sport 50H musi time Wireless Bluetooth Headset ...,KDM,Black, True Wireless,3.5,1288,969,2999,2030
"KDM Wireless Earbuds 15 Hrs Playtime (4 Hrs Earbuds, 11...",KDM,Grey, In the Ear,5,0,1499,2999,1500
kk2 Single-Side Talking K1 Lightweight Wireless Bluetoo...,kk2,Black, True Wireless,4.2,35,186,689,503
kk2 Ear Headphone for Compatible to All Android Mobile ...,kk2,White, In the Ear,3.8,175,156,399,243
KOTION EACH KOTION EACH_G2000 Wired Gaming Headset,KOTION,Black/Blue, On the Ear,1,0,1525,1649,124
KRAZZY INDIA b11 red Bluetooth Headset,KRAZZY,Red, In the Ear,4.2,10071,235,999,764
KRAZZY INDIA b11 red Bluetooth Headset,KRAZZY,Red, In the Ear,4.3,405112,235,999,764
LIFE MUSIC high quality HBS 730 Neckband wireless Sport...,LIFE,Black, In the Ear,4,6781,270,1199,929
Logitech H390 USB Wired Headset,Logitech,Black, On the Ear,4,18,3299,4695,1396
MASOORI Headset11 5.0 P With Mic Bluetooth Headset Blue...,MASOORI,White, True Wireless,3.6,14,399,1999,1600
Matlek Gaming Headphones With Adjustable Mic | Deep Bas...,Matlek,Blue, On the Ear,4.1,236,699,1490,791
meoww 3.5mm Deep Bass For O_PPO Reno Series Wired Heads...,meoww,White, In the Ear,3.9,3281,170,699,529
Met style ENCO M31 Wireless bluetooth Neckband Bluetoot...,Met,Blue, In the Ear,4.1,274,999,1999,1000
Mi Basic Wired Headset,Mi,Blue, Black,4.3,712789,429,599,170
Mi Basic Wired Headset with Mic,Mi,Black, In the Ear,4.3,712789,429,599,170
MICROBOTS i7s single ear bluetooth best quality for all...,MICROBOTS,White, True Wireless,3.6,72,125,499,374
MICROBOTS single ear bluetooth best quality for all sma...,MICROBOTS,Multicolor, In the Ear,3.7,578,150,1999,1849
"Microflash Touch, Voice Control-LED Display Earbuds Blu...",Microflash,Black, True Wireless,4,2014,1199,2499,1300
Micromax AirFunk 1 Bluetooth Headset,Micromax,Black, True Wireless,3.9,626,1234,2999,1765
"MIFKRT Dual Driver Wired Headset with Mic (Night Black,...",MIFKRT,Black, In the Ear,3.5,86,299,1399,1100
MINISO We Bare Bears In-Ear Headphones with Microphone ...,MINISO,Pink, In the Ear,4,41082,250,700,450
Mivi DuoPods M20 True Wireless Bluetooth Headset,Mivi,Black, True Wireless,3.3,1842,799,2999,2200
Mivi Duopods F30 with 42 hours battery Fast Charging TW...,Mivi,White, True Wireless,3.9,99486,999,2999,2000
Mivi Collar Classic Neckband with Fast Charging Bluetoo...,Mivi,Black, In the Ear,3.4,56834,699,2499,1800
Mivi Collar Classic Neckband with Fast Charging Bluetoo...,Mivi,Blue, In the Ear,3.9,99486,699,2499,1800
Mivi DuoPods M20 True Wireless Bluetooth Headset,Mivi,Blue, True Wireless,3.8,1748,799,2999,2200
Mivi Duopods F30 with 42 hours battery Fast Charging TW...,Mivi,Red, True Wireless,3.9,43126,999,2999,2000
Mivi Collar Classic Neckband with Fast Charging Bluetoo...,Mivi,Red, In the Ear,3.9,99486,699,2665,1966
Mivi TEDPM40-BK Bluetooth Headset,Mivi,Black, True Wireless,5,0,1499,3999,2500
MJ Hub -730 Headphone wireless music crystal clear ster...,MJ,Black, In the Ear,3.8,35074,220,1599,1379
MJ Hub -730 Headphone wireless music crystal clear ster...,MJ,Black, In the Ear,4,2834,220,399,179
MJ Hub HBS-730 Wireless/Bluetooth Earphone Compatible A...,MJ,Black, In the Ear,3.9,35280,199,999,800
MLN SPORTS-1062 30 hours play time Neckband Bluetooth H...,MLN,Black, In the Ear,3.7,124,599,2999,2400
MLN NB-1035 Sports Wireless 24 hours play time Neckband...,MLN,Black, In the Ear,3.9,35280,599,2999,2400
Musify Trending Best HBS-730 Wireless Neckband With Cal...,Musify,Blue, In the Ear,3.9,35280,234,1299,1065
Musify New 730 Sports Handsfree Calling Compatible With...,Musify,Black, In the Ear,3.8,704,234,1299,1065
Muzifit Boomband RX135 Bluetooth Wireless Neckband with...,Muzifit,Grey, In the Ear,3.8,665,499,2299,1800
Mytrack 288 Pro in-Ear with ASAP charging Version 5.0 N...,Mytrack,Black, In the Ear,4.1,404,499,1998,1499
N2B MAGNET Red & k1 Pack of 2 Bluetooth Bluetooth Heads...,N2B,Black, Red,3.5,20079,260,1875,1615
N2B MAGNET-02 PACK OF 2 Bluetooth Headset,N2B,Black, True Wireless,4,625672,254,1998,1744
N2B MAGNET-02 PACK OF 2 Bluetooth Headset,N2B,Black, True Wireless,3.5,573,254,1998,1744
N2B MAGNET-02 PACK OF 2 Bluetooth Headset,N2B,Black, True Wireless,3.3,1842,254,1998,1744
N2B MAGNET-02 PACK OF 2 Bluetooth Headset,N2B,Black, True Wireless,4,70713,254,1998,1744
N2B MAGNET-02 PACK OF 2 Bluetooth Headset,N2B,Black, True Wireless,3.3,1842,254,1998,1744
N2B MAGNET-02 PACK OF 2 Bluetooth Headset,N2B,Black, True Wireless,4.5,13,254,1998,1744
N2B TWS Twins Wireless Bluetooth Earphone with Mic HEAD...,N2B,White, In the Ear,4,0,399,999,600
N2B MAGNET-02 PACK OF 2 Bluetooth Headset,N2B,Black, True Wireless,3.5,35,254,1998,1744
N2B MAGNET-02 PACK OF 2 Bluetooth Headset,N2B,Black, True Wireless,3.8,133,254,1998,1744
N2B MAGNET-02 PACK OF 2 Bluetooth Headset,N2B,Black, True Wireless,3.6,6770,254,1998,1744
N2B MAGNET-02 PACK OF 2 Bluetooth Headset,N2B,Black, True Wireless,3.6,885,254,1998,1744
N2B k1 & MAGNET Red Pack of 2 Bluetooth Bluetooth Heads...,N2B,Black, Red,4.1,19773,256,1998,1742
N2B MAGNET-02 PACK OF 2 Bluetooth Headset,N2B,Black, True Wireless,3.9,4844,254,1998,1744
N2B MAGNET-02 PACK OF 2 Bluetooth Headset,N2B,Black, True Wireless,4.1,46980,254,7999,7745
N2B MAGNET-K1-I7 Pack of 3 Bluetooth Bluetooth Headset,N2B,Black, White,3.3,26491,421,2848,2427
N2B MAGNET RED & BLACK-K1-I7 Pack of 4 Bluetooth Blueto...,N2B,Black, White,3.3,4387,470,999,529
N2B MAGNET-02 PACK OF 2 Bluetooth Headset,N2B,Black, True Wireless,3.2,120,254,1999,1745
N2B PACK OF 2 Bluetooth Headset V4.1 with Mic Bluetooth...,N2B,Black, True Wireless,3.5,1204,242,1700,1458
N2B MAGNET-02 PACK OF 2 Bluetooth Headset,N2B,Black, True Wireless,3.8,89,254,399,145
N2B MAGNET-K1-I7 Pack of 3 Bluetooth Bluetooth Headset,N2B,Black, White,3,0,421,0,-421
N2B ADVANCED MAGNET RED Bluetooth Headset,N2B,Red, Gold,4.8,5,173,1199,1026
N2B MAGNET-02 PACK OF 2 Bluetooth Headset,N2B,Black, True Wireless,3.3,193,254,1998,1744
N2B MAGNET-K1-I7 Pack of 3 Bluetooth Bluetooth Headset,N2B,Black, White,3.9,13327,421,2848,2427
N2B MAGNET-02 PACK OF 2 Bluetooth Headset,N2B,Black, True Wireless,4,2834,254,1998,1744
N2B MAGNET-02 PACK OF 2 Bluetooth Headset,N2B,Black, True Wireless,3,64,254,1998,1744
N2B MAGNET-K1-I7 Pack of 3 Bluetooth Bluetooth Headset,N2B,Black, White,3.9,13327,421,2848,2427
N2B MAGNET-02 PACK OF 2 Bluetooth Headset,N2B,Black, True Wireless,4.5,4,254,1998,1744
N2B MAGNET-02 PACK OF 2 Bluetooth Headset,N2B,Black, True Wireless,4,333036,254,1998,1744
N2B MAGNET-02 PACK OF 2 Bluetooth Headset,N2B,Black, True Wireless,3.3,20,254,1998,1744
N2B MAGNET-02 PACK OF 2 Bluetooth Headset,N2B,Black, True Wireless,3.9,167,254,1998,1744
NICK JONES TWINS Double Wireless Bluetooth Earbuds with...,NICK,White, True Wireless,3.9,0,410,4999,4589
Nine9 SH12 Bluetooth Headset,Nine9,Black, On the Ear,3.8,9600,599,1499,900
Nine9 Bluetooth Headphone with FM/SD Card Bluetooth Hea...,Nine9,Blue, On the Ear,3.7,8221,499,899,400
Nine9 Bluetooth Headphone with FM/SD Card Bluetooth Hea...,Nine9,Blue, On the Ear,3.5,1920,499,899,400
Nine9 Bluetooth Headphone with FM/SD Card Bluetooth Hea...,Nine9,White, On the Ear,4.3,36720,499,843,344
NIRUM HBS-730 Wireless/bluetooth For ALL SMART MOBILES ...,NIRUM,Multicolor, In the Ear,4.1,28686,220,699,479
NIRUM Sports Handsfree HBS 730 Wireless Dual Connect He...,NIRUM,Black, In the Ear,3.8,2696,220,399,179
Noise Buds VS102 Truly Wireless Bluetooth Headset,Noise,Jet Black, True Wireless,3.9,13327,1282,2999,1717
Noise Air Buds Mini Truly Wireless Bluetooth Headset,Noise,Pearl White, True Wireless,3.9,84624,1424,2999,1575
Noise Air Buds Mini Truly Wireless Bluetooth Headset,Noise,Pale Blue, True Wireless,3.9,84624,1499,2999,1500
Noise Buds Prima with 42 hrs of playtime and Quad Mic B...,Noise,Hope Blue, True Wireless,3.8,417,1799,5999,4200
Noise Buds Prima with 42 hrs of playtime and Quad Mic B...,Noise,Simply Beige, True Wireless,3.8,417,1799,5999,4200
Noise Nerve Neckband Bluetooth Headset,Noise,Stone Blue, In the Ear,4,4902,999,4999,4000
Noise Buds VS102 Truly Wireless Bluetooth Headset,Noise,Pearl White, True Wireless,4.1,28686,1282,2999,1717
Noise Buds Prima with 42 hrs of playtime and Quad Mic B...,Noise,Charcoal Black, True Wireless,3.8,417,1799,5999,4200
"Noise Air Buds Pro with Active Noise Cancellation, Quad...",Noise,Celeste Blue, True Wireless,3.7,117,2999,7999,5000
"Noise Air Buds Pro with Active Noise Cancellation, Quad...",Noise,Pearl White, True Wireless,3.7,1582,2999,499,-2500
"Noise Air Buds Pro with Active Noise Cancellation, Quad...",Noise,Celeste Blue, True Wireless,4,239,2999,1599,-1400
Noise One Wireless Bluetooth Headset,Noise,Calm Blue, On the Ear,4.2,7050,1329,3999,2670
Noise One Wireless Bluetooth Headset,Noise,Soft Black, On the Ear,3.9,5788,1312,3999,2687
Nokia T2000 Rapid Charge Neckband Bluetooth Headset,Nokia,Midnight Black, In the Ear,3.5,459,1999,2999,1000
Nokia T3010 Bluetooth Headset,Nokia,Crystal Blue, True Wireless,4.1,55,1499,2099,600
Nothing ear (1) Bluetooth Headset,Nothing,White, True Wireless,4.2,14250,5999,7299,1300
NOYMI Bluetooth Wireless Noise Cancelling Earphone with...,NOYMI,Black, In the Ear,3.8,13,299,1199,900
Nu Republic Rush X6 With Environmental Noise Cancellati...,Nu,Blue, True Wireless,4,43,749,1999,1250
Nu Republic Dawn X3 Bluetooth Headset,Nu,Neon,Black,3.5,1288,475,1499,1024
Nu Republic Dawn X2 Bluetooth Headset,Nu,Red, Black,3.6,10,475,6999,6524
Nu Republic Dawn X3 Bluetooth Headset,Nu,Red, Black,4,10238,475,1499,1024
Nu Republic Flo 2 Bluetooth Headset,Nu,Black, True Wireless,3.6,1904,999,2999,2000
Obin BB-01 BoomBass Wired Headset,Obin,Black, In the Ear,3.9,10398,239,1299,1060
ODIO OWE11 The Moksha Series(Aqua Blue) Wired Headset,ODIO,Blue, In the Ear,4.1,257,249,499,250
OnePlus Bullets Wireless Z Bass Edition Bluetooth Heads...,OnePlus,Bold Black, In the Ear,4.3,437395,1999,2190,191
OnePlus Bullets Wireless Z Bass Edition Bluetooth Heads...,OnePlus,Reverb Red, In the Ear,3.5,573,1999,2190,191
OnePlus Buds Z Bluetooth Headset,OnePlus,Grey, True Wireless,4.2,65051,2999,3190,191
OnePlus Buds Bluetooth Headset,OnePlus,Grey, True Wireless,4.1,31872,4990,1999,-2991
OPPO Enco Buds With 24 hours Battery Life Bluetooth Hea...,OPPO,White, True Wireless,4.2,34075,1799,3999,2200
OPPO Enco W11 With Noise Cancellation for calls Bluetoo...,OPPO,White, True Wireless,4,23199,2499,3999,1500
OUD 150Hrs Music Time Wireless Deep Bass Stereo Sound N...,OUD,Black, In the Ear,4.2,2111,799,3999,3200
OUD 150Hrs Music Time Wireless Deep Bass Stereo Sound N...,OUD,Black, In the Ear,3.7,15,799,2499,1700
Oxhox HBS-730 Sports Stereo Headphone Bluetooth Headset,Oxhox,Black, In the Ear,3.5,12909,260,1999,1739
Oxhox Magnetic Bluetooth Headset with Mic Bluetooth Hea...,Oxhox,Black, In the Ear,3.9,35280,144,999,855
Oxhox HBS-730 Wireless compatible with 4G redmi Headset...,Oxhox,Black, In the Ear,3.8,3440,260,4999,4739
Oxhox Wireless compatible with 4G redmi Bluetooth Heads...,Oxhox,Red, Black,5,0,147,0,-147
Oxhox 4.1 Bluetooth Magnetic Sports Handset for Smartph...,Oxhox,Red, Black,5,14,148,4999,4851
P3A K1 & Red Magnet Bluetooth Pack of 2 Bluetooth Heads...,P3A,Red, Black,3.6,330,257,1998,1741
P3A Magnet Red & K1 White Bluetooth Pack of 2 Bluetooth...,P3A,Red, White,3.7,1373,259,1998,1739
P3A Magnet Red & Black Bluetooth Pack of 2 Bluetooth He...,P3A,Red, Black,4,11150,259,1998,1739
P3A Magnet Red & Black Bluetooth Pack of 2 Bluetooth He...,P3A,Red, Black,3.9,35280,259,1998,1739
PADRAIG Metal Magnetic Wireless Bluetooth Sports Stereo...,PADRAIG,Multicolor, In the Ear,5,0,219,999,780
Para IN-EAR WIRED EARPHONES WITH MIC Wired Headset(Cyan...,Para,Cyan, In the Ear,3.8,48,179,399,220
PEarl Entities PREGET Wired Headset,PEarl,Blue, Black,5,0,284,799,515
PEarl Entities PREGET Wired Headset,PEarl,Blue, Black,3.7,0,284,799,515
pervious Wired Earphones with mic Light-weight and tang...,pervious,White, In the Ear,4,333036,179,999,820
PHILIPS SHE1505BK/94 Rich Bass Wired Headset,PHILIPS,Black, In the Ear,4.1,20960,299,399,100
PHILIPS TAT4205BK (TWS) with IPX5 Splash-Proof Design B...,PHILIPS,Black, True Wireless,3.6,1471,1499,6999,5500
PHILIPS TAN2215BK/94 Splash Proof Wireless Neckband Blu...,PHILIPS,Black, In the Ear,3.6,89,1749,3999,2250
phinics i12 Earpods Bluetooth Headset Bluetooth Headset...,phinics,Pink, True Wireless,3.3,518,549,1199,650
Platina 1000 Bluetooth Headset,Platina,Multicolor, In the Ear,3.4,3550,245,999,754
Plus Shine TWS Wireless Bluetooth Earphone Bluetooth He...,Plus,White, True Wireless,3.7,4617,449,1899,1450
Plus Shine i12s_MA05 Bluetooth Headset,Plus,White, True Wireless,3.9,221939,549,1599,1050
Plus Shine i12s_MA05 Bluetooth Headset,Plus,White, True Wireless,3.2,229,549,1599,1050
POKRYT BT26 Long Life Battery Backup 24 Hours With Mic ...,POKRYT,Black, In the Ear,3.7,49,899,1999,1100
POKRYT BT26 Long Life Battery Backup 24 Hours With Mic ...,POKRYT,Black, In the Ear,3.5,2649,899,1999,1100
POKRYT Hot SaleASAP charging Version 5.0 Bluetooth earp...,POKRYT,Black, In the Ear,4,333036,899,1999,1100
Portronics POR-1071 Conch Beta Wired Headset,Portronics,Black, In the Ear,4.1,221,229,1299,1070
Portronics POR-1071 Conch Beta Wired Headset,Portronics,Black, In the Ear,4.1,9930,229,599,370
Portronics Harmonics 216 Bluetooth Headset,Portronics,Blue, In the Ear,4.2,77904,759,1999,1240
Portronics Harmonics 216 Bluetooth Headset,Portronics,Blue, In the Ear,3.3,1842,759,2999,2240
Portronics POR-1070 Conch Gama Wired Headset,Portronics,Red, In the Ear,3.5,55,249,599,350
Portronics Harmonics 216 Bluetooth Headset,Portronics,Black, In the Ear,4,6245,799,1999,1200
Portronics POR-1182 Harmonics 300 Bluetooth Headset,Portronics,Blue, In the Ear,3.8,3440,1234,2999,1765
Portronics Harmonics One Sports Bluetooth Headset,Portronics,Black, In the Ear,3.8,0,797,1999,1202
PREMBROTHERS U&I Hammer Series UINB-4824 Neckband With ...,PREMBROTHERS,Black, Red,3.5,843,949,2999,2050
PREMBROTHERS U&I Titanic series UINB-3987 Neckband With...,PREMBROTHERS,Black, In the Ear,5,0,598,999,401
PTron InTunes Lite Neckband Bluetooth Headset,PTron,Black, Red,3.8,16286,549,1800,1251
PTron Basspods 481 Bluetooth Headset,PTron,Black, Silver,4.2,7050,799,3799,3000
PTron Basspods 481 Bluetooth Headset,PTron,Black, Silver,3.7,5317,799,3799,3000
PTron Basspods 681 Bluetooth Headset,PTron,Black, True Wireless,3.7,6288,1599,3999,2400
PTron Soundster Lite Bluetooth Headset,PTron,Black, On the Ear,3.5,13,799,999,200
PTron Basspods 281 In-Ear True Wireless Bluetooth 5.1 H...,PTron,Black, Grey,3.8,1860,999,2699,1700
PTron Basspods 581 Bluetooth Headset,PTron,Black & Red, True Wireless,3.6,240,999,3799,2800
PTron Basspods 581 Bluetooth Headset,PTron,Black & Yellow, True Wireless,3.5,134,999,3799,2800
"PunnkFunnk K20 Gaming Headset, Over Ear Gaming Headphon...",PunnkFunnk,Black, On the Ear,3.5,1713,949,2499,1550
Qexle Harons_Hbs730_01 Bluetooth Headset,Qexle,Black, In the Ear,4.2,334732,399,1299,900
Qexle Harons_Hbs730_01 Bluetooth Headset,Qexle,Black, In the Ear,4.1,88,399,1099,700
Qexle Neckband BT Compatible 730 With Light Bass Sport ...,Qexle,Black, In the Ear,4,0,399,2848,2449
Qexle HBS-730 bluetooth headset with Bluetooth Headset ...,Qexle,Black, In the Ear,4,1934,449,1399,950
kabeer enterprises 3D Ultra Bass Powerful Sound Redm.i ...,Realme,Black, In the Ear,3.5,1043,256,1199,943
realme Buds Wireless 2 Neo with Type-C Fast Charge & Ba...,realme,Black, In the Ear,4,63970,1499,2499,1000
realme Buds Q2 Neo with Environment Noise Cancellation ...,realme,Black, True Wireless,3.9,217931,1599,2499,900
realme Buds Wireless 2 with Dart Charge and Active Nois...,realme,Yellow, In the Ear,3.9,13327,2299,3499,1200
realme Buds 2 Wired Headset,realme,Black, In the Ear,4.2,229212,599,799,200
realme Buds Wireless 2 with Dart Charge and Active Nois...,realme,Grey, In the Ear,4.1,56420,2299,3499,1200
realme Buds Q2 Neo with Environment Noise Cancellation ...,realme,Blue, True Wireless,3.8,631,1599,2499,900
realme Buds Air 2 with Active Noise Cancellation (ANC) ...,realme,Closer White, True Wireless,3.6,550,3299,4999,1700
realme Buds Classic RMA2001 Wired Earphones with HD Mic...,realme,White, In the Ear,4.2,105190,399,699,300
realme Buds 2 Wired Headset,realme,Orange, In the Ear,4.3,535144,599,799,200
realme Buds Wireless Bluetooth Headset,realme,Yellow, In the Ear,4,4948,1780,1999,219
realme Buds Q2 with Active Noise Cancellation Bluetooth...,realme,Black, In the Ear,3.9,13327,2499,3499,1000
realme Buds Wireless Bluetooth Headset,realme,Green, In the Ear,3.9,18893,1765,1999,234
realme Buds 2 Neo With HD Mic Wired Headset,realme,Black, In the Ear,4.2,19975,499,2499,2000
realme Buds Air 2 with Active Noise Cancellation (ANC) ...,realme,Closer Gold, True Wireless,4.1,16689,3299,1199,-2100
realme Buds 2 Neo With HD Mic Wired Headset,realme,Blue, In the Ear,3.5,20079,499,599,100
realme Buds Wireless Pro with Active Noise Cancellation...,realme,Yellow, In the Ear,3.9,13327,3999,5999,2000
realme Buds Q Bluetooth Headset,realme,White, True Wireless,1,0,1999,799,-1200
realme Buds Wired Headset,realme,Black, In the Ear,3.9,4849,449,1799,1350
realme Buds Air Pro Active Noise Cancellation Enabled B...,realme,Matte Black, True Wireless,3.3,643,4999,5999,1000
realme Buds Air Neo Bluetooth Headset,realme,Red, True Wireless,3.9,5788,2499,2999,500
Reborn 30 Hours non-Stop Backup Unquie HQ Neckband Wire...,Reborn,Black, In the Ear,4,3142,549,1999,1450
Redmi by Mi Hi-Resolution Audio Wired Headset,Redmi,Black, In the Ear,4.2,25388,399,999,600
Redmi by Mi Hi-Resolution Audio Wired Headset,Redmi,Black, In the Ear,4.2,74477,399,599,200
Redmi by Mi Hi-Resolution Audio Wired Headset,Redmi,Red, In the Ear,3.9,13327,399,599,200
REDMI SonicBass Neckband Bluetooth Headset,Redmi,Black, In the Ear,4,2834,1299,4999,3700
Remembrand ThunderBass 450 Bluetooth Headset,Remembrand,Active Black, In the Ear,3.4,181,599,3800,3201
RFV1 TWS Bluetooth Earphones Touch Sensor with in Built...,RFV1,White, True Wireless,3.7,45,499,999,500
RJFuture I12 TWS Earphone Wireless Earbuds Bluetooth He...,RJFuture,White, In the Ear,4.1,12,434,1199,765
RJFuture RML NECKBAND Bluetooth Headset,RJFuture,Black, Yellow,3.8,427,219,599,380
RJFuture I12 TWS Earphone Wireless Earbuds Bluetooth He...,RJFuture,White, In the Ear,3.4,64,434,1199,765
RoyalRich LED Display TWS Earbuds Bluetooth Headset,RoyalRich,Black, True Wireless,4,306,999,2999,2000
RPM Euro Games Gaming Earphones Headphones For Mobile P...,RPM,Blue, In the Ear,3.7,1233,699,999,300
RPMSD True Wireless ProBuds Headphone Earphone With Cha...,RPMSD,Black, Red,3.3,40,1327,2995,1668
Ruhi Collection Best Collection Earphones for In-Ear Ha...,Ruhi,White, In the Ear,3.9,35280,169,999,830
D1enterprises Samsung Ehs-61 Orginal earphones on the e...,SAMSUNG,White, In the Ear,3.6,1750,149,999,850
SAMSUNG Level U2 With Type-C Charging Bluetooth Headset,SAMSUNG,Blue, In the Ear,4.2,258319,2199,2999,800
SAMSUNG Original EHS64 Black Wired Headset,SAMSUNG,Black, In the Ear,4.2,6452,499,1999,1500
SAMSUNG Level U2 With Type-C Charging Bluetooth Headset,SAMSUNG,Black, In the Ear,3.3,56,2199,2999,800
samsung uflex Headphone Wired Headset,SAMSUNG,White, In the Ear,3.9,35280,220,500,280
SAMSUNG EHS64 Wired Headset,SAMSUNG,White, In the Ear,5,0,499,2499,2000
SAMSUNG EHS64 Wired Headset,SAMSUNG,White, In the Ear,4.2,77904,499,2499,2000
samsung uflex Headphone Wired Headset,SAMSUNG,White, In the Ear,3.7,0,220,2099,1879
SAMSUNG Original EHS64AVFWECINU Wired Headset,SAMSUNG,White, In the Ear,4.1,287,499,2999,2500
