Brand,Year,Fuel,Transmission,Engine,Max_Power,Torque,Seats,Mileage,KM_Driven,Owner,Seller_Type,Selling_Price
Hyundai EON Era,2012,Petrol,Manual,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5,21.1 kmpl,100000,First Owner,Individual,190000
Hyundai EON Sportz,2018,Petrol,Manual,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5,21.1 kmpl,25000,First Owner,Individual,380000
Ford EcoSport S Diesel BSIV,2019,Diesel,Manual,1498 CC,98.96 bhp,205Nm@ 1750-3250rpm,5,23.0 kmpl,20000,First Owner,Individual,1145000
Tata Zest Quadrajet 1.3 75PS XE,2017,Diesel,Manual,1248 CC,74 bhp,190Nm@ 1750-3000rpm,5,22.95 kmpl,70000,First Owner,Individual,540000
Toyota Innova 2.5 V Diesel 7-seater,2011,Diesel,Manual,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),7,12.8 kmpl,197000,First Owner,Individual,800000
Maruti Wagon R LXI BSIII,2006,Petrol,Manual,1061 CC,64 bhp,"8.6@ 3,500(kgm@ rpm)",5,14.0 kmpl,100000,Second Owner,Individual,150000
Maruti 800 Std,1995,Petrol,Manual,796 CC,37 bhp,59Nm@ 2500rpm,4,16.1 kmpl,70000,First Owner,Individual,55000
Mahindra XUV500 W10 2WD,2015,Diesel,Manual,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7,16.0 kmpl,140000,First Owner,Individual,919999
Maruti Esteem LX,2008,Petrol,Manual,,,,,,86000,Second Owner,Individual,75000
Maruti Alto LXi BSIII,2009,Petrol,Manual,796 CC,46.3 bhp,62Nm@ 3000rpm,5,19.7 kmpl,50000,First Owner,Individual,135000
Tata Tiago 1.2 Revotron XZ,2017,Petrol,Manual,1199 CC,84 bhp,114Nm@ 3500rpm,5,23.84 kmpl,40300,First Owner,Individual,340000
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2010,Diesel,Manual,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),8,12.8 kmpl,120000,Second Owner,Individual,525000
Maruti Celerio VXI,2016,Petrol,Manual,998 CC,67.04 bhp,90Nm@ 3500rpm,5,23.1 kmpl,25000,Second Owner,Individual,411000
Maruti Wagon R LXI Minor,2010,Petrol,Manual,998 CC,67.1 bhp,90Nm@ 3500rpm,5,18.9 kmpl,155000,Third Owner,Individual,150000
Honda Jazz 1.2 V AT i VTEC,2015,Petrol,Automatic,1199 CC,88.7 bhp,110Nm@ 4800rpm,5,19.0 kmpl,50000,First Owner,Individual,575000
Hyundai i20 Asta Option 1.2,2017,Petrol,Manual,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5,18.6 kmpl,30030,First Owner,Dealer,595000
Hyundai Xcent 1.2 Kappa SX Option,2017,Petrol,Manual,1197 CC,82 bhp,114Nm@ 4000rpm,5,19.1 kmpl,29029,First Owner,Dealer,525000
Maruti Ritz VDi,2012,Diesel,Manual,1248 CC,73.9 bhp,113Nm@ 4500rpm,5,21.1 kmpl,72072,First Owner,Dealer,335000
Ford Figo Diesel EXI,2012,Diesel,Manual,1399 CC,68 bhp,160Nm@ 2000rpm,5,20.0 kmpl,54000,First Owner,Individual,300000
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2012,Diesel,Manual,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5,22.54 kmpl,82082,First Owner,Dealer,415000
Mahindra XUV500 W8 2WD,2016,Diesel,Manual,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7,16.0 kmpl,48000,Second Owner,Individual,925000
Maruti Ertiga BSIV ZXI Plus,2016,Petrol,Manual,1373 CC,91.1 bhp,130Nm@ 4000rpm,7,17.5 kmpl,20000,First Owner,Individual,750000
Hyundai Verna CRDi 1.6 AT SX Option,2018,Diesel,Automatic,1582 CC,126.2 bhp,259.87nm@ 1500-3000rpm,5,22.0 kmpl,49000,First Owner,Individual,1150000
Datsun GO Plus T BSIV,2015,Petrol,Manual,1198 CC,67 bhp,104Nm@ 4000rpm,7,19.44 kmpl,35000,Third Owner,Individual,260000
Maruti Alto 800 CNG LXI,2017,CNG,Manual,796 CC,40.3 bhp,60Nm@ 3500rpm,4,33.44 km/kg,67000,First Owner,Individual,260000
Maruti Swift Dzire Vdi BSIV,2011,Diesel,Manual,1248 CC,73.9 bhp,190Nm@ 2000rpm,5,19.3 kmpl,80600,First Owner,Individual,347000
Hyundai EON Magna Optional,2013,Petrol,Manual,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5,21.1 kmpl,58609,Second Owner,Individual,195000
Fiat Punto Pure 1.2L FIRE,2016,Petrol,Manual,1172 CC,67 bhp,96Nm@ 2500rpm,5,15.7 kmpl,33003,First Owner,Individual,265000
Maruti Wagon R LXI CNG,2016,CNG,Manual,998 CC,58.16 bhp,77Nm@ 3500rpm,5,26.6 km/kg,43000,Second Owner,Individual,320000
Hyundai i20 Magna 1.2,2016,Petrol,Manual,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5,18.6 kmpl,16500,First Owner,Individual,590000
Toyota Innova 2.5 GX 8 STR BSIV,2012,Diesel,Manual,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),8,12.8 kmpl,138000,Second Owner,Individual,650000
Mahindra Scorpio 2009-2014 EX 9S BSIII,2013,Diesel,Manual,2523 CC,75 bhp,200Nm@ 1400-2200rpm,9,14.0 kmpl,165500,Second Owner,Individual,509999
Maruti Swift Dzire ZDi,2011,Diesel,Manual,1248 CC,73.9 bhp,190Nm@ 2000rpm,5,19.3 kmpl,120000,Second Owner,Individual,350000
Tata Nexon 1.5 Revotorq XM,2018,Diesel,Manual,1497 CC,108.5 bhp,260Nm@ 1500-2750rpm,5,21.5 kmpl,30000,First Owner,Individual,749000
Tata Indigo CS LS (TDI) BS III,2010,Diesel,Manual,1396 CC,69 bhp,135Nm@ 2500rpm,5,19.09 kmpl,70000,Second Owner,Individual,150000
Hyundai Santro LE,2001,Petrol,Manual,,,,,,80000,Second Owner,Individual,33983
Maruti Zen LX,2003,Petrol,Manual,993 CC,60 bhp,78Nm@ 4500rpm,5,17.3 kmpl,170000,Third Owner,Individual,58000
Mahindra Verito 1.5 D2 BSIV,2011,Diesel,Manual,1461 CC,64.1 bhp,160Nm@ 2000rpm,5,21.0 kmpl,120000,Third Owner,Individual,200000
Mahindra Jeep MM 540,1998,Diesel,Manual,,,,,,47990,Second Owner,Individual,210000
Tata Indica Vista Quadrajet LS,2014,Diesel,Manual,1248 CC,74 bhp,190Nm@ 1750-3000rpm,5,22.3 kmpl,168000,Second Owner,Individual,240000
Honda Amaze E i-DTEC,2017,Diesel,Manual,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,25.8 kmpl,60000,Second Owner,Individual,515000
Maruti Alto LXi,2008,Petrol,Manual,796 CC,46.3 bhp,62Nm@ 3000rpm,5,19.7 kmpl,120000,Second Owner,Individual,145000
Maruti Wagon R VXI Optional,2016,Petrol,Manual,998 CC,67.04 bhp,90Nm@ 3500rpm,5,20.51 kmpl,5800,Second Owner,Individual,450000
Maruti A-Star Lxi,2010,Petrol,Manual,998 CC,66.1 bhp,90Nm@ 3500rpm,5,19.0 kmpl,68700,Third Owner,Individual,179000
Hyundai Verna Xi (Petrol),2007,Petrol,Manual,1599 CC,103.2 bhp,"14.9@ 3,000(kgm@ rpm)",5,13.9 kmpl,108000,Third Owner,Individual,220000
Tata Zest Revotron 1.2 XT,2020,Petrol,Manual,1193 CC,88.7 bhp,140Nm@ 1500-4000rpm,5,17.57 kmpl,40000,First Owner,Individual,500000
Ford Fiesta Classic 1.4 SXI Duratorq,2009,Diesel,Manual,1399 CC,67 bhp,160Nm@ 2000rpm,5,17.8 kmpl,100000,Second Owner,Individual,190000
Chevrolet Beat Diesel LT,2015,Diesel,Manual,936 CC,56.3 bhp,142.5Nm@ 1750rpm,5,25.44 kmpl,40000,First Owner,Individual,200000
Ford EcoSport 1.5 Petrol Titanium Plus BSIV,2018,Petrol,Manual,1497 CC,121.36 bhp,150Nm@ 4500rpm,5,17.0 kmpl,90000,First Owner,Individual,850000
Volkswagen Polo Petrol Highline 1.2L,2011,Petrol,Manual,1198 CC,73.9 bhp,110Nm@ 3750rpm,5,16.47 kmpl,60000,Second Owner,Individual,270000
Hyundai EON Magna Plus,2016,Petrol,Manual,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5,21.1 kmpl,17000,First Owner,Individual,335000
Maruti Wagon R VXI Optional,2018,Petrol,Manual,998 CC,67.04 bhp,90Nm@ 3500rpm,5,20.51 kmpl,5000,First Owner,Individual,459999
Maruti Vitara Brezza LDi Option,2017,Diesel,Manual,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,24.3 kmpl,60000,First Owner,Individual,710000
Maruti Swift Dzire LDI,2015,Diesel,Manual,1248 CC,74 bhp,190Nm@ 2000rpm,5,26.59 kmpl,140000,Second Owner,Individual,330000
Jeep Compass 2.0 Limited,2017,Diesel,Manual,1956 CC,170 bhp,350Nm@ 1750-2500rpm,5,17.1 kmpl,15000,First Owner,Individual,1515000
Tata Nexon 1.2 Revotron XZ Plus,2018,Petrol,Manual,1198 CC,108.5 bhp,170Nm@ 1750-4000rpm,5,17.0 kmpl,25000,First Owner,Individual,750000
Chevrolet Spark 1.0 LT,2016,Petrol,Manual,995 CC,62.1 bhp,90.3Nm@ 4200rpm,5,16.2 kmpl,50000,Second Owner,Individual,160000
Chevrolet Beat Diesel LT Option,2016,Diesel,Manual,936 CC,56.3 bhp,142.5Nm@ 1750rpm,5,25.44 kmpl,60000,Second Owner,Individual,215000
Tata Nano Cx BSIII,2012,Petrol,Manual,624 CC,38 bhp,51Nm@ 4000+/-500rpm,4,25.4 kmpl,40000,Second Owner,Individual,60000
Maruti Swift Dzire VXI,2014,Petrol,Manual,1197 CC,85.8 bhp,114Nm@ 4000rpm,5,19.1 kmpl,72000,First Owner,Individual,480000
Tata Manza Aqua Quadrajet BS IV,2012,Diesel,Manual,1248 CC,88.8 bhp,200Nm@ 1750-3000rpm,5,21.12 kmpl,195000,Second Owner,Individual,140000
Hyundai EON D Lite,2012,Petrol,Manual,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5,21.1 kmpl,70000,First Owner,Individual,200000
Nissan Micra Diesel XL Optional,2013,Diesel,Manual,1461 CC,63.1 bhp,160Nm@ 2000rpm,5,23.08 kmpl,83000,First Owner,Individual,400000
Hyundai EON Era Plus,2012,Petrol,Manual,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5,21.1 kmpl,100000,Second Owner,Individual,180000
Maruti Swift VXI Optional,2015,Petrol,Manual,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,20.4 kmpl,25000,First Owner,Individual,550000
Maruti Swift VDI Optional,2016,Diesel,Manual,1248 CC,74 bhp,190Nm@ 2000rpm,5,25.2 kmpl,50000,First Owner,Individual,550000
Maruti Ertiga VDI,2012,Diesel,Manual,1248 CC,88.76 bhp,200Nm@ 1750rpm,7,20.77 kmpl,67000,First Owner,Individual,550000
Maruti Zen Estilo VXI BSIV,2011,Petrol,Manual,998 CC,67.1 bhp,90Nm@ 3500rpm,5,19.0 kmpl,30000,First Owner,Individual,270000
Renault Pulse RxL,2013,Diesel,Manual,1461 CC,63.12 bhp,160Nm@ 2000rpm,5,23.08 kmpl,85000,First Owner,Individual,315000
Mahindra Thar CRDe,2018,Diesel,Manual,2498 CC,105 bhp,247Nm@ 1800-2000rpm,6,16.55 kmpl,25000,First Owner,Individual,875000
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2007,Diesel,Manual,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),8,12.8 kmpl,170000,First Owner,Individual,400000
Mahindra Scorpio EX,2014,Diesel,Manual,2523 CC,75 bhp,200Nm@ 1400-2200rpm,8,14.0 kmpl,110000,First Owner,Individual,540000
Maruti Wagon R LXI CNG,2017,CNG,Manual,998 CC,58.16 bhp,77Nm@ 3500rpm,5,26.6 km/kg,60000,First Owner,Individual,350000
Hyundai Verna 1.6 SX CRDi (O),2011,Diesel,Manual,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5,22.32 kmpl,80000,Second Owner,Individual,360000
Maruti Wagon R VXI BS IV,2014,Petrol,Manual,998 CC,67.04 bhp,90Nm@ 3500rpm,5,20.51 kmpl,31000,First Owner,Individual,300000
Hyundai Grand i10 CRDi Sportz,2014,Diesel,Manual,1120 CC,70 bhp,160Nm@ 1500-2750rpm,5,24.0 kmpl,100000,First Owner,Individual,350000
Mahindra NuvoSport N8,2016,Diesel,Manual,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7,17.45 kmpl,130000,First Owner,Individual,650000
Maruti Wagon R LXI Optional,2016,Petrol,Manual,998 CC,67.04 bhp,90Nm@ 3500rpm,5,20.51 kmpl,20000,First Owner,Individual,350000
Ford EcoSport 1.5 TDCi Trend Plus BSIV,2017,Diesel,Manual,1498 CC,98.59 bhp,205Nm@ 1750-3250rpm,5,22.77 kmpl,60000,First Owner,Individual,700000
Maruti Swift Dzire VDI,2013,Diesel,Manual,1248 CC,74 bhp,190Nm@ 2000rpm,5,23.4 kmpl,102996,Second Owner,Individual,415000
Mahindra Marazzo M8,2019,Diesel,Manual,1497 CC,121 bhp,300Nm@ 1750-2500rpm,7,17.3 kmpl,5000,First Owner,Individual,1460000
Tata Nexon 1.5 Revotorq XZ Plus,2017,Diesel,Manual,1497 CC,108.5 bhp,260Nm@ 1500-2750rpm,5,21.5 kmpl,35000,First Owner,Individual,830000
Datsun GO T Option BSIV,2018,Petrol,Manual,1198 CC,67 bhp,104Nm@ 4000rpm,5,20.63 kmpl,5000,Second Owner,Individual,430000
Ford EcoSport 1.5 TDCi Platinum Edition BSIV,2017,Diesel,Manual,1498 CC,98.59 bhp,205Nm@ 1750-3250rpm,5,22.77 kmpl,60000,First Owner,Individual,850000
Maruti Swift Dzire ZXI,2017,Petrol,Manual,1197 CC,83.14 bhp,115Nm@ 4000rpm,5,20.85 kmpl,70000,First Owner,Individual,650000
Hyundai Verna CRDi,2008,Diesel,Manual,1493 CC,110 bhp,"24@ 1,900-2,750(kgm@ rpm)",5,16.8 kmpl,120000,Second Owner,Individual,120000
Mahindra TUV 300 T8,2016,Diesel,Manual,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7,18.49 kmpl,65100,Second Owner,Individual,730000
Maruti Ignis 1.2 AMT Delta BSIV,2019,Petrol,Automatic,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,20.89 kmpl,20000,First Owner,Individual,525000
Hyundai i20 Active 1.4 SX,2015,Diesel,Manual,1396 CC,88.73 bhp,220Nm@ 1500-2750rpm,5,21.19 kmpl,108000,First Owner,Individual,600000
Maruti Swift LXI,2019,Petrol,Manual,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,21.21 kmpl,15000,First Owner,Individual,500000
Hyundai Santro Xing GLS,2009,Petrol,Manual,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5,17.92 kmpl,77000,First Owner,Individual,150000
Maruti Wagon R VXI BS IV,2015,Petrol,Manual,998 CC,67.04 bhp,90Nm@ 3500rpm,5,20.51 kmpl,18500,First Owner,Individual,409999
Mahindra TUV 300 T8,2016,Diesel,Manual,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7,18.49 kmpl,120000,First Owner,Individual,625000
Renault KWID RXT,2015,Petrol,Manual,799 CC,53.3 bhp,72Nm@ 4386rpm,5,25.17 kmpl,15200,First Owner,Individual,290000
Honda Mobilio V i VTEC,2015,Petrol,Manual,1497 CC,117.3 bhp,145Nm@ 4600rpm,7,17.3 kmpl,35000,First Owner,Individual,500000
Hyundai Verna 1.6 SX,2011,Diesel,Manual,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5,22.32 kmpl,80000,First Owner,Individual,475000
Hyundai EON Era Plus,2013,Petrol,Manual,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5,21.1 kmpl,70000,First Owner,Individual,190000
Mahindra XUV500 W6 2WD,2014,Diesel,Manual,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7,15.1 kmpl,80000,Second Owner,Individual,750000
Nissan Terrano XV 110 PS,2014,Diesel,Manual,1461 CC,108.5 bhp,248Nm@ 2250rpm,5,19.01 kmpl,120000,Second Owner,Individual,525000
Chevrolet Cruze LTZ,2012,Diesel,Manual,1998 CC,163.7 bhp,380Nm@ 2000rpm,5,17.3 kmpl,82000,Third Owner,Individual,495000
Hyundai i20 Sportz 1.4 CRDi,2015,Diesel,Manual,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5,22.54 kmpl,60000,First Owner,Individual,550000
Mahindra XUV500 W8 4WD,2012,Diesel,Manual,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7,15.1 kmpl,129000,Third Owner,Individual,595000
Fiat Grande Punto EVO 1.3 Dynamic,2015,Diesel,Manual,1248 CC,75 bhp,197Nm@ 1750rpm,5,21.2 kmpl,67000,First Owner,Individual,550000
Toyota Fortuner 2.5 4x2 MT TRD Sportivo,2015,Diesel,Manual,2494 CC,142 bhp,343Nm@ 1600-2800rpm,7,13.0 kmpl,120000,First Owner,Individual,2000000
Tata Safari DICOR 2.2 EX 4x2,2010,Diesel,Manual,2179 CC,138.03 bhp,320Nm@ 1700-2700rpm,7,13.93 kmpl,120000,Fourth & Above Owner,Individual,400000
Fiat Avventura Power Up 1.3 Emotion,2015,Diesel,Manual,1248 CC,91.72 bhp,209Nm@ 2000rpm,5,20.5 kmpl,96500,First Owner,Individual,500000
Maruti Wagon R LXI BSIII,2017,Petrol,Manual,998 CC,67.1 bhp,90Nm@ 3500rpm,5,18.9 kmpl,52412,First Owner,Dealer,340000
Mahindra Scorpio SLE BS IV,2012,Diesel,Manual,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8,12.05 kmpl,85472,First Owner,Dealer,480000
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2013,Diesel,Manual,1498 CC,98.59 bhp,205Nm@ 1750-3250rpm,5,22.77 kmpl,87452,Second Owner,Dealer,480000
Ford EcoSport 1.5 Diesel Ambiente BSIV,2018,Diesel,Manual,1498 CC,98.96 bhp,205Nm@ 1750-3250rpm,5,23.0 kmpl,17000,First Owner,Individual,750000
Maruti Wagon R LXI Minor,2008,Petrol,Manual,1061 CC,67 bhp,84Nm@ 3500rpm,5,18.9 kmpl,66530,Second Owner,Individual,100000
Hyundai i20 Magna,2013,Petrol,Manual,1197 CC,82.85 bhp,113.7Nm@ 4000rpm,5,18.5 kmpl,40000,First Owner,Individual,290000
Fiat Avventura Power Up 1.3 Emotion,2015,Diesel,Manual,1248 CC,91.72 bhp,209Nm@ 2000rpm,5,20.5 kmpl,96500,First Owner,Individual,425000
Honda City V MT,2010,Petrol,Manual,1497 CC,116.3 bhp,146Nm@ 4800rpm,5,16.8 kmpl,79000,First Owner,Individual,285000
Mahindra TUV 300 mHAWK100 T8,2016,Diesel,Manual,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7,18.49 kmpl,50000,First Owner,Individual,625000
Fiat Grande Punto Active (Diesel),2012,Diesel,Manual,1248 CC,75 bhp,197Nm@ 1750rpm,5,20.3 kmpl,60000,Second Owner,Individual,170000
Tata Zest Revotron 1.2T XMS,2018,Petrol,Manual,1193 CC,88.7 bhp,140Nm@ 1500-4000rpm,5,17.57 kmpl,35000,First Owner,Individual,459999
Fiat Avventura MULTIJET Emotion,2015,Diesel,Manual,1248 CC,91.72 bhp,209Nm@ 2000rpm,5,20.5 kmpl,120000,First Owner,Individual,450000
Maruti Swift Dzire AMT VXI,2019,Petrol,Automatic,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,21.21 kmpl,10000,First Owner,Individual,650000
Hyundai i20 Active 1.2 S,2017,Petrol,Manual,1197 CC,81.86 bhp,114.73Nm@ 4000rpm,5,17.19 kmpl,15000,First Owner,Individual,600000
Maruti Alto 800 CNG LXI,2013,CNG,Manual,796 CC,47.3 bhp,69Nm@ 3500rpm,5,30.46 km/kg,70000,Second Owner,Individual,178000
Maruti Alto 800 LXI,2016,Petrol,Manual,796 CC,47.3 bhp,69Nm@ 3500rpm,5,22.74 kmpl,5000,First Owner,Individual,300000
Maruti Alto LXi,2009,Petrol,Manual,796 CC,46.3 bhp,62Nm@ 3000rpm,5,19.7 kmpl,40000,First Owner,Individual,150000
Hyundai Elite i20 Petrol Magna Exective,2019,Petrol,Manual,1197 CC,81.86 bhp,114.73nm@ 4000rpm,5,18.6 kmpl,10000,First Owner,Individual,590000
Hyundai EON Era Plus,2016,Petrol,Manual,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5,21.1 kmpl,25000,First Owner,Individual,310000
Tata Zest Revotron 1.2T XMS,2017,Petrol,Manual,1193 CC,88.7 bhp,140Nm@ 1500-4000rpm,5,17.57 kmpl,53000,First Owner,Individual,400000
Mahindra Scorpio LX,2014,Diesel,Manual,2179 CC,120 bhp,290Nm@ 1800-2800rpm,9,12.05 kmpl,110000,Second Owner,Individual,520000
Ashok Leyland Stile LE,2013,Diesel,Manual,1461 CC,75 bhp,185Nm@ 1750-2750rpm,8,20.07 kmpl,200000,Second Owner,Individual,300000
Mahindra XUV300 W8 Option BSIV,2019,Petrol,Manual,1197 CC,110 bhp,200Nm@ 2000-3500rpm,5,17.0 kmpl,22000,First Owner,Individual,1000000
Maruti Wagon R VXI,2003,Petrol,Manual,998 CC,67.1 bhp,90Nm@ 3500rpm,5,18.9 kmpl,70000,Fourth & Above Owner,Individual,65000
Honda Amaze VX i-DTEC,2015,Diesel,Manual,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,25.8 kmpl,75000,Second Owner,Individual,509999
Maruti Wagon R VXI BSIII,2012,Petrol,Manual,998 CC,67.1 bhp,90Nm@ 3500rpm,5,18.9 kmpl,70000,First Owner,Individual,221000
Volkswagen Vento 1.6 Highline,2014,Petrol,Manual,1598 CC,103.2 bhp,153Nm@ 3800rpm,5,15.04 kmpl,64000,Third Owner,Individual,390000
Maruti Gypsy King Soft Top MPI BSIV,2002,Petrol,Manual,1298 CC,80 bhp,103Nm@ 4500rpm,8,11.96 kmpl,60000,First Owner,Individual,350000
Maruti Alto LXi,2009,Petrol,Manual,796 CC,46.3 bhp,62Nm@ 3000rpm,5,19.7 kmpl,40000,First Owner,Individual,195000
Audi Q7 3.0 TDI Quattro,2010,Diesel,Automatic,2967 CC,241.4 bhp,550Nm@ 1750-2750rpm,7,12.07 kmpl,110000,Second Owner,Individual,1750000
Mahindra Scorpio VLX 2WD AIRBAG BSIII,2013,Diesel,Manual,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8,12.05 kmpl,60000,First Owner,Individual,600000
Hyundai i20 Sportz Option 1.4 CRDi,2015,Diesel,Manual,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5,22.54 kmpl,72000,First Owner,Individual,615000
Hyundai i20 Magna 1.4 CRDi (Diesel),2013,Diesel,Manual,1396 CC,88.76 bhp,219.6Nm@ 1500-2750rpm,5,21.9 kmpl,70000,Second Owner,Individual,350000
Chevrolet Beat Diesel LS,2012,Diesel,Manual,936 CC,57.6 bhp,150Nm@ 1750rpm,5,25.44 kmpl,75000,First Owner,Individual,140000
Hyundai i20 1.4 Sportz,2017,Diesel,Manual,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5,22.54 kmpl,32331,Second Owner,Individual,650000
Hyundai Creta 1.6 CRDi SX Plus,2016,Diesel,Manual,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5,19.67 kmpl,70000,First Owner,Individual,1100000
Hyundai i20 1.4 CRDi Sportz,2010,Diesel,Manual,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5,23.0 kmpl,80000,Second Owner,Individual,285000
Chevrolet Spark 1.0 LT,2011,Petrol,Manual,995 CC,62 bhp,90.3Nm@ 4200rpm,5,18.0 kmpl,20000,Second Owner,Individual,190000
Nissan Sunny XL,2012,Petrol,Manual,1498 CC,97.7 bhp,134Nm@ 4000rpm,5,16.95 kmpl,110000,First Owner,Individual,350000
Hyundai Grand i10 Asta,2014,Petrol,Manual,1197 CC,82 bhp,114Nm@ 4000rpm,5,18.9 kmpl,40000,Second Owner,Individual,400000
Toyota Innova Crysta 2.7 ZX AT BSIV,2016,Petrol,Automatic,2694 CC,163.7 bhp,245Nm@ 4000rpm,7,10.75 kmpl,40000,First Owner,Individual,2100000
Hyundai i20 Sportz 1.2,2015,Petrol,Manual,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5,18.6 kmpl,90000,Second Owner,Individual,434999
Maruti Swift Dzire VXI,2014,Petrol,Manual,1197 CC,85.8 bhp,114Nm@ 4000rpm,5,19.1 kmpl,50000,Second Owner,Individual,450000
Daewoo Matiz SD,2001,Petrol,Manual,796 CC,53 bhp,71Nm@ 3500rpm,5,18.5 kmpl,137000,First Owner,Individual,45000
Hyundai i20 Asta 1.2,2015,Petrol,Manual,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5,18.6 kmpl,60000,First Owner,Individual,450000
Maruti Swift VDI Optional,2017,Diesel,Manual,1248 CC,74 bhp,190Nm@ 2000rpm,5,25.2 kmpl,30000,First Owner,Individual,580000
Hyundai Creta 1.6 CRDi SX,2016,Diesel,Manual,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5,19.67 kmpl,98000,First Owner,Individual,900000
Maruti Ertiga SHVS ZDI,2016,Diesel,Manual,1248 CC,88.5 bhp,200Nm@ 1750rpm,7,24.52 kmpl,50000,First Owner,Individual,750000
Tata Indigo CS LS (TDI) BS III,2009,Diesel,Manual,1396 CC,69 bhp,135Nm@ 2500rpm,5,19.09 kmpl,120000,Third Owner,Individual,140000
Hyundai Grand i10 1.2 Kappa Sportz BSIV,2017,Petrol,Manual,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5,18.9 kmpl,30000,First Owner,Individual,525000
Tata Indigo CS LS (TDI) BS III,2009,Diesel,Manual,1396 CC,69 bhp,135Nm@ 2500rpm,5,19.09 kmpl,120000,Third Owner,Individual,114999
Tata Tiago 1.2 Revotron XZ,2016,Petrol,Manual,1199 CC,84 bhp,114Nm@ 3500rpm,5,23.84 kmpl,40000,First Owner,Individual,399000
Hyundai Santro Xing XL eRLX Euro II,2006,Petrol,Manual,,,,,,100000,Second Owner,Individual,150000
Tata Indica V2 Turbomax DLS BS IV,2012,Diesel,Manual,1405 CC,71 bhp,135 Nm at 2500 rpm,5,19.0 kmpl,90000,Second Owner,Individual,275000
Hyundai i20 1.4 CRDi Magna,2011,Diesel,Manual,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5,21.9 kmpl,80000,Second Owner,Individual,340000
Hyundai EON LPG Era Plus,2012,LPG,Manual,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5,21.1 km/kg,120000,First Owner,Individual,222000
Mahindra Ssangyong Rexton RX7,2013,Diesel,Automatic,2696 CC,184 bhp,402Nm@ 1600-3000rpm,7,11.18 kmpl,200000,First Owner,Individual,850000
Tata Indica V2 DLS,2007,Diesel,Manual,1396 CC,53.5 bhp,"8.5@ 2,500(kgm@ rpm)",5,17.2 kmpl,110000,Second Owner,Individual,70000
Tata Tiago 1.2 Revotron XT,2017,Petrol,Manual,1199 CC,84 bhp,114Nm@ 3500rpm,5,23.84 kmpl,38000,Second Owner,Individual,430000
Tata Tiago 1.2 Revotron XT,2017,Petrol,Manual,1199 CC,84 bhp,114Nm@ 3500rpm,5,23.84 kmpl,35000,Second Owner,Individual,430000
Maruti Wagon R VXI BS IV,2014,Petrol,Manual,998 CC,67.04 bhp,90Nm@ 3500rpm,5,20.51 kmpl,70000,First Owner,Individual,320000
