Year,Continent,Country,Population,Life_Expectancy,GDP_per_Capita
1962,Asia,Myanmar,23634436,45.108,388
1967,Asia,Myanmar,25870271,49.379,349
1972,Asia,Myanmar,28466390,53.07,357
1977,Asia,Myanmar,31528087,56.059,371
1982,Asia,Myanmar,34680442,58.056,424
1987,Asia,Myanmar,38028578,58.339,385
1992,Asia,Myanmar,40546538,59.32,347
1997,Asia,Myanmar,43247867,60.328,415
2002,Asia,Myanmar,45598081,59.908,611
2007,Asia,Myanmar,47761980,62.069,944
1952,Africa,Namibia,485831,41.725,2423.780443
1957,Africa,Namibia,548080,45.226,2621.448058
1962,Africa,Namibia,621392,48.386,3173.215595
1967,Africa,Namibia,706640,51.159,3793.694753
1972,Africa,Namibia,821782,53.867,3746.080948
1977,Africa,Namibia,977026,56.437,3876.485958
1982,Africa,Namibia,1099010,58.968,4191.100511
1987,Africa,Namibia,1278184,60.835,3693.731337
1992,Africa,Namibia,1554253,61.999,3804.537999
1997,Africa,Namibia,1774766,58.909,3899.52426
2002,Africa,Namibia,1972153,51.479,4072.324751
2007,Africa,Namibia,2055080,52.906,4811.060429
1952,Asia,Nepal,9182536,36.157,545.8657229
1957,Asia,Nepal,9682338,37.686,597.9363558
1962,Asia,Nepal,10332057,39.393,652.3968593
1967,Asia,Nepal,11261690,41.472,676.4422254
1972,Asia,Nepal,12412593,43.971,674.7881296
1977,Asia,Nepal,13933198,46.748,694.1124398
1982,Asia,Nepal,15796314,49.594,718.3730947
1987,Asia,Nepal,17917180,52.537,775.6324501
1992,Asia,Nepal,20326209,55.727,897.7403604
1997,Asia,Nepal,23001113,59.426,1010.892138
2002,Asia,Nepal,25873917,61.34,1057.206311
2007,Asia,Nepal,28901790,63.785,1091.359778
1952,Europe,Netherlands,10381988,72.13,8941.571858
1957,Europe,Netherlands,11026383,72.99,11276.19344
1962,Europe,Netherlands,11805689,73.23,12790.84956
1967,Europe,Netherlands,12596822,73.82,15363.25136
1972,Europe,Netherlands,13329874,73.75,18794.74567
1977,Europe,Netherlands,13852989,75.24,21209.0592
1982,Europe,Netherlands,14310401,76.05,21399.46046
1987,Europe,Netherlands,14665278,76.83,23651.32361
1992,Europe,Netherlands,15174244,77.42,26790.94961
1997,Europe,Netherlands,15604464,78.03,30246.13063
2002,Europe,Netherlands,16122830,78.53,33724.75778
2007,Europe,Netherlands,16570613,79.762,36797.93332
1952,Oceania,New Zealand,1994794,69.39,10556.57566
1957,Oceania,New Zealand,2229407,70.26,12247.39532
1962,Oceania,New Zealand,2488550,71.24,13175.678
1967,Oceania,New Zealand,2728150,71.52,14463.91893
1972,Oceania,New Zealand,2929100,71.89,16046.03728
1977,Oceania,New Zealand,3164900,72.22,16233.7177
1982,Oceania,New Zealand,3210650,73.84,17632.4104
1987,Oceania,New Zealand,3317166,74.32,19007.19129
1992,Oceania,New Zealand,3437674,76.33,18363.32494
1997,Oceania,New Zealand,3676187,77.55,21050.41377
2002,Oceania,New Zealand,3908037,79.11,23189.80135
2007,Oceania,New Zealand,4115771,80.204,25185.00911
1952,Americas,Nicaragua,1165790,42.314,3112.363948
1957,Americas,Nicaragua,1358828,45.432,3457.415947
1962,Americas,Nicaragua,1590597,48.632,3634.364406
1967,Americas,Nicaragua,1865490,51.884,4643.393534
1972,Americas,Nicaragua,2182908,55.151,4688.593267
1977,Americas,Nicaragua,2554598,57.47,5486.371089
1982,Americas,Nicaragua,2979423,59.298,3470.338156
1987,Americas,Nicaragua,3344353,62.008,2955.984375
1992,Americas,Nicaragua,4017939,65.843,2170.151724
1997,Americas,Nicaragua,4609572,68.426,2253.023004
2002,Americas,Nicaragua,5146848,70.836,2474.548819
2007,Americas,Nicaragua,5675356,72.899,2749.320965
1952,Africa,Niger,3379468,37.444,761.879376
1957,Africa,Niger,3692184,38.598,835.5234025
1962,Africa,Niger,4076008,39.487,997.7661127
1967,Africa,Niger,4534062,40.118,1054.384891
1972,Africa,Niger,5060262,40.546,954.2092363
1977,Africa,Niger,5682086,41.291,808.8970728
1982,Africa,Niger,6437188,42.598,909.7221354
1987,Africa,Niger,7332638,44.555,668.3000228
1992,Africa,Niger,8392818,47.391,581.182725
1997,Africa,Niger,9666252,51.313,580.3052092
2002,Africa,Niger,11140655,54.496,601.0745012
2007,Africa,Niger,12894865,56.867,619.6768924
1952,Africa,Nigeria,33119096,36.324,1077.281856
1957,Africa,Nigeria,37173340,37.802,1100.592563
1962,Africa,Nigeria,41871351,39.36,1150.927478
1967,Africa,Nigeria,47287752,41.04,1014.514104
1972,Africa,Nigeria,53740085,42.821,1698.388838
1977,Africa,Nigeria,62209173,44.514,1981.951806
1982,Africa,Nigeria,73039376,45.826,1576.97375
1987,Africa,Nigeria,81551520,46.886,1385.029563
1992,Africa,Nigeria,93364244,47.472,1619.848217
1997,Africa,Nigeria,106207839,47.464,1624.941275
2002,Africa,Nigeria,119901274,46.608,1615.286395
2007,Africa,Nigeria,135031164,46.859,2013.977305
1952,Europe,Norway,3327728,72.67,10095.42172
1957,Europe,Norway,3491938,73.44,11653.97304
1962,Europe,Norway,3638919,73.47,13450.40151
1967,Europe,Norway,3786019,74.08,16361.87647
1972,Europe,Norway,3933004,74.34,18965.05551
1977,Europe,Norway,4043205,75.37,23311.34939
1982,Europe,Norway,4114787,75.97,26298.63531
1987,Europe,Norway,4186147,75.89,31540.9748
1992,Europe,Norway,4286357,77.32,33965.66115
1997,Europe,Norway,4405672,78.32,41283.16433
2002,Europe,Norway,4535591,79.05,44683.97525
2007,Europe,Norway,4627926,80.196,49357.19017
1952,Asia,Oman,507833,37.578,1828.230307
1957,Asia,Oman,561977,40.08,2242.746551
1962,Asia,Oman,628164,43.165,2924.638113
1967,Asia,Oman,714775,46.988,4720.942687
1972,Asia,Oman,829050,52.143,10618.03855
1977,Asia,Oman,1004533,57.367,11848.34392
1982,Asia,Oman,1301048,62.728,12954.79101
1987,Asia,Oman,1593882,67.734,18115.22313
1992,Asia,Oman,1915208,71.197,18616.70691
1997,Asia,Oman,2283635,72.499,19702.05581
2002,Asia,Oman,2713462,74.193,19774.83687
2007,Asia,Oman,3204897,75.64,22316.19287
1952,Asia,Pakistan,41346560,43.436,684.5971438
1957,Asia,Pakistan,46679944,45.557,747.0835292
1962,Asia,Pakistan,53100671,47.67,803.3427418
1967,Asia,Pakistan,60641899,49.8,942.4082588
1972,Asia,Pakistan,69325921,51.929,1049.938981
1977,Asia,Pakistan,78152686,54.043,1175.921193
1982,Asia,Pakistan,91462088,56.158,1443.429832
1987,Asia,Pakistan,105186881,58.245,1704.686583
1992,Asia,Pakistan,120065004,60.838,1971.829464
1997,Asia,Pakistan,135564834,61.818,2049.350521
2002,Asia,Pakistan,153403524,63.61,2092.712441
2007,Asia,Pakistan,169270617,65.483,2605.94758
1952,Americas,Panama,940080,55.191,2480.380334
1957,Americas,Panama,1063506,59.201,2961.800905
1962,Americas,Panama,1215725,61.817,3536.540301
1967,Americas,Panama,1405486,64.071,4421.009084
1972,Americas,Panama,1616384,66.216,5364.249663
1977,Americas,Panama,1839782,68.681,5351.912144
1982,Americas,Panama,2036305,70.472,7009.601598
1987,Americas,Panama,2253639,71.523,7034.779161
1992,Americas,Panama,2484997,72.462,6618.74305
1997,Americas,Panama,2734531,73.738,7113.692252
2002,Americas,Panama,2990875,74.712,7356.031934
2007,Americas,Panama,3242173,75.537,9809.185636
1952,Americas,Paraguay,1555876,62.649,1952.308701
1957,Americas,Paraguay,1770902,63.196,2046.154706
1962,Americas,Paraguay,2009813,64.361,2148.027146
1967,Americas,Paraguay,2287985,64.951,2299.376311
1972,Americas,Paraguay,2614104,65.815,2523.337977
1977,Americas,Paraguay,2984494,66.353,3248.373311
1982,Americas,Paraguay,3366439,66.874,4258.503604
1987,Americas,Paraguay,3886512,67.378,3998.875695
1992,Americas,Paraguay,4483945,68.225,4196.411078
1997,Americas,Paraguay,5154123,69.4,4247.400261
2002,Americas,Paraguay,5884491,70.755,3783.674243
2007,Americas,Paraguay,6667147,71.752,4172.838464
1952,Americas,Peru,8025700,43.902,3758.523437
1957,Americas,Peru,9146100,46.263,4245.256698
1962,Americas,Peru,10516500,49.096,4957.037982
1967,Americas,Peru,12132200,51.445,5788.09333
1972,Americas,Peru,13954700,55.448,5937.827283
1977,Americas,Peru,15990099,58.447,6281.290855
1982,Americas,Peru,18125129,61.406,6434.501797
1987,Americas,Peru,20195924,64.134,6360.943444
1992,Americas,Peru,22430449,66.458,4446.380924
1997,Americas,Peru,24748122,68.386,5838.347657
2002,Americas,Peru,26769436,69.906,5909.020073
2007,Americas,Peru,28674757,71.421,7408.905561
1952,Asia,Philippines,22438691,47.752,1272.880995
1957,Asia,Philippines,26072194,51.334,1547.944844
1962,Asia,Philippines,30325264,54.757,1649.552153
1967,Asia,Philippines,35356600,56.393,1814.12743
1972,Asia,Philippines,40850141,58.065,1989.37407
1977,Asia,Philippines,46850962,60.06,2373.204287
1982,Asia,Philippines,53456774,62.082,2603.273765
1987,Asia,Philippines,60017788,64.151,2189.634995
1992,Asia,Philippines,67185766,66.458,2279.324017
1997,Asia,Philippines,75012988,68.564,2536.534925
2002,Asia,Philippines,82995088,70.303,2650.921068
2007,Asia,Philippines,91077287,71.688,3190.481016
1952,Europe,Poland,25730551,61.31,4029.329699
1957,Europe,Poland,28235346,65.77,4734.253019
1962,Europe,Poland,30329617,67.64,5338.752143
1967,Europe,Poland,31785378,69.61,6557.152776
1972,Europe,Poland,33039545,70.85,8006.506993
1977,Europe,Poland,34621254,70.67,9508.141454
1982,Europe,Poland,36227381,71.32,8451.531004
1987,Europe,Poland,37740710,70.98,9082.351172
1992,Europe,Poland,38370697,70.99,7738.881247
1997,Europe,Poland,38654957,72.75,10159.58368
2002,Europe,Poland,38625976,74.67,12002.23908
2007,Europe,Poland,38518241,75.563,15389.92468
1952,Europe,Portugal,8526050,59.82,3068.319867
1957,Europe,Portugal,8817650,61.51,3774.571743
1962,Europe,Portugal,9019800,64.39,4727.954889
1967,Europe,Portugal,9103000,66.6,6361.517993
1972,Europe,Portugal,8970450,69.26,9022.247417
1977,Europe,Portugal,9662600,70.41,10172.48572
1982,Europe,Portugal,9859650,72.77,11753.84291
1987,Europe,Portugal,9915289,74.06,13039.30876
1992,Europe,Portugal,9927680,74.86,16207.26663
1997,Europe,Portugal,10156415,75.97,17641.03156
2002,Europe,Portugal,10433867,77.29,19970.90787
2007,Europe,Portugal,10642836,78.098,20509.64777
1952,Americas,Puerto Rico,2227000,64.28,3081.959785
1957,Americas,Puerto Rico,2260000,68.54,3907.156189
1962,Americas,Puerto Rico,2448046,69.62,5108.34463
1967,Americas,Puerto Rico,2648961,71.1,6929.277714
1972,Americas,Puerto Rico,2847132,72.16,9123.041742
1977,Americas,Puerto Rico,3080828,73.44,9770.524921
1982,Americas,Puerto Rico,3279001,73.75,10330.98915
1987,Americas,Puerto Rico,3444468,74.63,12281.34191
1992,Americas,Puerto Rico,3585176,73.911,14641.58711
1997,Americas,Puerto Rico,3759430,74.917,16999.4333
2002,Americas,Puerto Rico,3859606,77.778,18855.60618
2007,Americas,Puerto Rico,3942491,78.746,19328.70901
1952,Africa,Reunion,257700,52.724,2718.885295
1957,Africa,Reunion,308700,55.09,2769.451844
1962,Africa,Reunion,358900,57.666,3173.72334
1967,Africa,Reunion,414024,60.542,4021.175739
1972,Africa,Reunion,461633,64.274,5047.658563
1977,Africa,Reunion,492095,67.064,4319.804067
1982,Africa,Reunion,517810,69.885,5267.219353
1987,Africa,Reunion,562035,71.913,5303.377488
1992,Africa,Reunion,622191,73.615,6101.255823
1997,Africa,Reunion,684810,74.772,6071.941411
2002,Africa,Reunion,743981,75.744,6316.1652
2007,Africa,Reunion,798094,76.442,7670.122558
1952,Europe,Romania,16630000,61.05,3144.613186
1957,Europe,Romania,17829327,64.1,3943.370225
1962,Europe,Romania,18680721,66.8,4734.997586
1967,Europe,Romania,19284814,66.8,6470.866545
1972,Europe,Romania,20662648,69.21,8011.414402
1977,Europe,Romania,21658597,69.46,9356.39724
1982,Europe,Romania,22356726,69.66,9605.314053
1987,Europe,Romania,22686371,69.53,9696.273295
1992,Europe,Romania,22797027,69.36,6598.409903
1997,Europe,Romania,22562458,69.72,7346.547557
2002,Europe,Romania,22404337,71.322,7885.360081
2007,Europe,Romania,22276056,72.476,10808.47561
1952,Africa,Rwanda,2534927,40,493.3238752
1957,Africa,Rwanda,2822082,41.5,540.2893983
1962,Africa,Rwanda,3051242,43,597.4730727
1967,Africa,Rwanda,3451079,44.1,510.9637142
1972,Africa,Rwanda,3992121,44.6,590.5806638
1977,Africa,Rwanda,4657072,45,670.0806011
1982,Africa,Rwanda,5507565,46.218,881.5706467
1987,Africa,Rwanda,6349365,44.02,847.991217
1992,Africa,Rwanda,7290203,23.599,737.0685949
1997,Africa,Rwanda,7212583,36.087,589.9445051
2002,Africa,Rwanda,7852401,43.413,785.6537648
2007,Africa,Rwanda,8860588,46.242,863.0884639
1952,Africa,Sao Tome and Principe,60011,46.471,879.5835855
1957,Africa,Sao Tome and Principe,61325,48.945,860.7369026
1962,Africa,Sao Tome and Principe,65345,51.893,1071.551119
1967,Africa,Sao Tome and Principe,70787,54.425,1384.840593
1972,Africa,Sao Tome and Principe,76595,56.48,1532.985254
1977,Africa,Sao Tome and Principe,86796,58.55,1737.561657
1982,Africa,Sao Tome and Principe,98593,60.351,1890.218117
1987,Africa,Sao Tome and Principe,110812,61.728,1516.525457
1992,Africa,Sao Tome and Principe,125911,62.742,1428.777814
1997,Africa,Sao Tome and Principe,145608,63.306,1339.076036
2002,Africa,Sao Tome and Principe,170372,64.337,1353.09239
2007,Africa,Sao Tome and Principe,199579,65.528,1598.435089
1952,Asia,Saudi Arabia,4005677,39.875,6459.554823
1957,Asia,Saudi Arabia,4419650,42.868,8157.591248
1962,Asia,Saudi Arabia,4943029,45.914,11626.41975
1967,Asia,Saudi Arabia,5618198,49.901,16903.04886
1972,Asia,Saudi Arabia,6472756,53.886,24837.42865
1977,Asia,Saudi Arabia,8128505,58.69,34167.7626
1982,Asia,Saudi Arabia,11254672,63.012,33693.17525
1987,Asia,Saudi Arabia,14619745,66.295,21198.26136
1992,Asia,Saudi Arabia,16945857,68.768,24841.61777
1997,Asia,Saudi Arabia,21229759,70.533,20586.69019
2002,Asia,Saudi Arabia,24501530,71.626,19014.54118
2007,Asia,Saudi Arabia,27601038,72.777,21654.83194
1952,Africa,Senegal,2755589,37.278,1450.356983
1957,Africa,Senegal,3054547,39.329,1567.653006
1962,Africa,Senegal,3430243,41.454,1654.988723
1967,Africa,Senegal,3965841,43.563,1612.404632
1972,Africa,Senegal,4588696,45.815,1597.712056
1977,Africa,Senegal,5260855,48.879,1561.769116
1982,Africa,Senegal,6147783,52.379,1518.479984
1987,Africa,Senegal,7171347,55.769,1441.72072
1992,Africa,Senegal,8307920,58.196,1367.899369
1997,Africa,Senegal,9535314,60.187,1392.368347
2002,Africa,Senegal,10870037,61.6,1519.635262
2007,Africa,Senegal,12267493,63.062,1712.472136
1952,Europe,Serbia,6860147,57.996,3581.459448
1957,Europe,Serbia,7271135,61.685,4981.090891
1962,Europe,Serbia,7616060,64.531,6289.629157
1967,Europe,Serbia,7971222,66.914,7991.707066
1972,Europe,Serbia,8313288,68.7,10522.06749
1977,Europe,Serbia,8686367,70.3,12980.66956
1982,Europe,Serbia,9032824,70.162,15181.0927
1987,Europe,Serbia,9230783,71.218,15870.87851
1992,Europe,Serbia,9826397,71.659,9325.068238
1997,Europe,Serbia,10336594,72.232,7914.320304
2002,Europe,Serbia,10111559,73.213,7236.075251
2007,Europe,Serbia,10150265,74.002,9786.534714
1952,Africa,Sierra Leone,2143249,30.331,879.7877358
1957,Africa,Sierra Leone,2295678,31.57,1004.484437
1962,Africa,Sierra Leone,2467895,32.767,1116.639877
1967,Africa,Sierra Leone,2662190,34.113,1206.043465
1972,Africa,Sierra Leone,2879013,35.4,1353.759762
1977,Africa,Sierra Leone,3140897,36.788,1348.285159
1982,Africa,Sierra Leone,3464522,38.445,1465.010784
1987,Africa,Sierra Leone,3868905,40.006,1294.447788
1992,Africa,Sierra Leone,4260884,38.333,1068.696278
1997,Africa,Sierra Leone,4578212,39.897,574.6481576
2002,Africa,Sierra Leone,5359092,41.012,699.489713
2007,Africa,Sierra Leone,6144562,42.568,862.5407561
1952,Asia,Singapore,1127000,60.396,2315.138227
1957,Asia,Singapore,1445929,63.179,2843.104409
1962,Asia,Singapore,1750200,65.798,3674.735572
1967,Asia,Singapore,1977600,67.946,4977.41854
1972,Asia,Singapore,2152400,69.521,8597.756202
1977,Asia,Singapore,2325300,70.795,11210.08948
1982,Asia,Singapore,2651869,71.76,15169.16112
1987,Asia,Singapore,2794552,73.56,18861.53081
1992,Asia,Singapore,3235865,75.788,24769.8912
1997,Asia,Singapore,3802309,77.158,33519.4766
2002,Asia,Singapore,4197776,78.77,36023.1054
2007,Asia,Singapore,4553009,79.972,47143.17964
1952,Europe,Slovak Republic,3558137,64.36,5074.659104
1957,Europe,Slovak Republic,3844277,67.45,6093.26298
1962,Europe,Slovak Republic,4237384,70.33,7481.107598
1967,Europe,Slovak Republic,4442238,70.98,8412.902397
1972,Europe,Slovak Republic,4593433,70.35,9674.167626
1977,Europe,Slovak Republic,4827803,70.45,10922.66404
1982,Europe,Slovak Republic,5048043,70.8,11348.54585
1987,Europe,Slovak Republic,5199318,71.08,12037.26758
1992,Europe,Slovak Republic,5302888,71.38,9498.467723
1997,Europe,Slovak Republic,5383010,72.71,12126.23065
2002,Europe,Slovak Republic,5410052,73.8,13638.77837
2007,Europe,Slovak Republic,5447502,74.663,18678.31435
1952,Europe,Slovenia,1489518,65.57,4215.041741
1957,Europe,Slovenia,1533070,67.85,5862.276629
1962,Europe,Slovenia,1582962,69.15,7402.303395
1967,Europe,Slovenia,1646912,69.18,9405.489397
1972,Europe,Slovenia,1694510,69.82,12383.4862
1977,Europe,Slovenia,1746919,70.97,15277.03017
1982,Europe,Slovenia,1861252,71.063,17866.72175
1987,Europe,Slovenia,1945870,72.25,18678.53492
1992,Europe,Slovenia,1999210,73.64,14214.71681
1997,Europe,Slovenia,2011612,75.13,17161.10735
2002,Europe,Slovenia,2011497,76.66,20660.01936
2007,Europe,Slovenia,2009245,77.926,25768.25759
1952,Africa,Somalia,2526994,32.978,1135.749842
1957,Africa,Somalia,2780415,34.977,1258.147413
1962,Africa,Somalia,3080153,36.981,1369.488336
1967,Africa,Somalia,3428839,38.977,1284.73318
1972,Africa,Somalia,3840161,40.973,1254.576127
1977,Africa,Somalia,4353666,41.974,1450.992513
1982,Africa,Somalia,5828892,42.955,1176.807031
1987,Africa,Somalia,6921858,44.501,1093.244963
1992,Africa,Somalia,6099799,39.658,926.9602964
1997,Africa,Somalia,6633514,43.795,930.5964284
2002,Africa,Somalia,7753310,45.936,882.0818218
2007,Africa,Somalia,9118773,48.159,926.1410683
1952,Africa,South Africa,14264935,45.009,4725.295531
1957,Africa,South Africa,16151549,47.985,5487.104219
1962,Africa,South Africa,18356657,49.951,5768.729717
1967,Africa,South Africa,20997321,51.927,7114.477971
1972,Africa,South Africa,23935810,53.696,7765.962636
1977,Africa,South Africa,27129932,55.527,8028.651439
1982,Africa,South Africa,31140029,58.161,8568.266228
1987,Africa,South Africa,35933379,60.834,7825.823398
1992,Africa,South Africa,39964159,61.888,7225.069258
1997,Africa,South Africa,42835005,60.236,7479.188244
2002,Africa,South Africa,44433622,53.365,7710.946444
2007,Africa,South Africa,43997828,49.339,9269.657808
1952,Europe,Spain,28549870,64.94,3834.034742
1957,Europe,Spain,29841614,66.66,4564.80241
1962,Europe,Spain,31158061,69.69,5693.843879
1967,Europe,Spain,32850275,71.44,7993.512294
1972,Europe,Spain,34513161,73.06,10638.75131
1977,Europe,Spain,36439000,74.39,13236.92117
1982,Europe,Spain,37983310,76.3,13926.16997
1987,Europe,Spain,38880702,76.9,15764.98313
1992,Europe,Spain,39549438,77.57,18603.06452
1997,Europe,Spain,39855442,78.77,20445.29896
2002,Europe,Spain,40152517,79.78,24835.47166
2007,Europe,Spain,40448191,80.941,28821.0637
1952,Asia,Sri Lanka,7982342,57.593,1083.53203
1957,Asia,Sri Lanka,9128546,61.456,1072.546602
1962,Asia,Sri Lanka,10421936,62.192,1074.47196
1967,Asia,Sri Lanka,11737396,64.266,1135.514326
1972,Asia,Sri Lanka,13016733,65.042,1213.39553
1977,Asia,Sri Lanka,14116836,65.949,1348.775651
1982,Asia,Sri Lanka,15410151,68.757,1648.079789
1987,Asia,Sri Lanka,16495304,69.011,1876.766827
1992,Asia,Sri Lanka,17587060,70.379,2153.739222
1997,Asia,Sri Lanka,18698655,70.457,2664.477257
2002,Asia,Sri Lanka,19576783,70.815,3015.378833
2007,Asia,Sri Lanka,20378239,72.396,3970.095407
1952,Africa,Sudan,8504667,38.635,1615.991129
1957,Africa,Sudan,9753392,39.624,1770.337074
1962,Africa,Sudan,11183227,40.87,1959.593767
1967,Africa,Sudan,12716129,42.858,1687.997641
1972,Africa,Sudan,14597019,45.083,1659.652775
1977,Africa,Sudan,17104986,47.8,2202.988423
1982,Africa,Sudan,20367053,50.338,1895.544073
1987,Africa,Sudan,24725960,51.744,1507.819159
1992,Africa,Sudan,28227588,53.556,1492.197043
1997,Africa,Sudan,32160729,55.373,1632.210764
2002,Africa,Sudan,37090298,56.369,1993.398314
2007,Africa,Sudan,42292929,58.556,2602.394995
1952,Africa,Swaziland,290243,41.407,1148.376626
1957,Africa,Swaziland,326741,43.424,1244.708364
1962,Africa,Swaziland,370006,44.992,1856.182125
1967,Africa,Swaziland,420690,46.633,2613.101665
1972,Africa,Swaziland,480105,49.552,3364.836625
1977,Africa,Swaziland,551425,52.537,3781.410618
1982,Africa,Swaziland,649901,55.561,3895.384018
1987,Africa,Swaziland,779348,57.678,3984.839812
1992,Africa,Swaziland,962344,58.474,3553.0224
1997,Africa,Swaziland,1054486,54.289,3876.76846
2002,Africa,Swaziland,1130269,43.869,4128.116943
2007,Africa,Swaziland,1133066,39.613,4513.480643
1952,Europe,Sweden,7124673,71.86,8527.844662
1957,Europe,Sweden,7363802,72.49,9911.878226
1962,Europe,Sweden,7561588,73.37,12329.44192
1967,Europe,Sweden,7867931,74.16,15258.29697
1972,Europe,Sweden,8122293,74.72,17832.02464
1977,Europe,Sweden,8251648,75.44,18855.72521
1982,Europe,Sweden,8325260,76.42,20667.38125
1987,Europe,Sweden,8421403,77.19,23586.92927
1992,Europe,Sweden,8718867,78.16,23880.01683
1997,Europe,Sweden,8897619,79.39,25266.59499
2002,Europe,Sweden,8954175,80.04,29341.63093
2007,Europe,Sweden,9031088,80.884,33859.74835
1952,Europe,Switzerland,4815000,69.62,14734.23275
1957,Europe,Switzerland,5126000,70.56,17909.48973
1962,Europe,Switzerland,5666000,71.32,20431.0927
1967,Europe,Switzerland,6063000,72.77,22966.14432
1972,Europe,Switzerland,6401400,73.78,27195.11304
1977,Europe,Switzerland,6316424,75.39,26982.29052
1982,Europe,Switzerland,6468126,76.21,28397.71512
1987,Europe,Switzerland,6649942,77.41,30281.70459
1992,Europe,Switzerland,6995447,78.03,31871.5303
1997,Europe,Switzerland,7193761,79.37,32135.32301
2002,Europe,Switzerland,7361757,80.62,34480.95771
2007,Europe,Switzerland,7554661,81.701,37506.41907
1952,Asia,Syria,3661549,45.883,1643.485354
1957,Asia,Syria,4149908,48.284,2117.234893
1962,Asia,Syria,4834621,50.305,2193.037133
1967,Asia,Syria,5680812,53.655,1881.923632
1972,Asia,Syria,6701172,57.296,2571.423014
1977,Asia,Syria,7932503,61.195,3195.484582
1982,Asia,Syria,9410494,64.59,3761.837715
1987,Asia,Syria,11242847,66.974,3116.774285
1992,Asia,Syria,13219062,69.249,3340.542768
1997,Asia,Syria,15081016,71.527,4014.238972
2002,Asia,Syria,17155814,73.053,4090.925331
2007,Asia,Syria,19314747,74.143,4184.548089
1952,Asia,Taiwan,8550362,58.5,1206.947913
1957,Asia,Taiwan,10164215,62.4,1507.86129
1962,Asia,Taiwan,11918938,65.2,1822.879028
1967,Asia,Taiwan,13648692,67.5,2643.858681
1972,Asia,Taiwan,15226039,69.39,4062.523897
1977,Asia,Taiwan,16785196,70.59,5596.519826
1982,Asia,Taiwan,18501390,72.16,7426.354774
1987,Asia,Taiwan,19757799,73.4,11054.56175
1992,Asia,Taiwan,20686918,74.26,15215.6579
1997,Asia,Taiwan,21628605,75.25,20206.82098
2002,Asia,Taiwan,22454239,76.99,23235.42329
2007,Asia,Taiwan,23174294,78.4,28718.27684
1952,Africa,Tanzania,8322925,41.215,716.6500721
1957,Africa,Tanzania,9452826,42.974,698.5356073
1962,Africa,Tanzania,10863958,44.246,722.0038073
1967,Africa,Tanzania,12607312,45.757,848.2186575
1972,Africa,Tanzania,14706593,47.62,915.9850592
1977,Africa,Tanzania,17129565,49.919,962.4922932
1982,Africa,Tanzania,19844382,50.608,874.2426069
1987,Africa,Tanzania,23040630,51.535,831.8220794
1992,Africa,Tanzania,26605473,50.44,825.682454
1997,Africa,Tanzania,30686889,48.466,789.1862231
2002,Africa,Tanzania,34593779,49.651,899.0742111
2007,Africa,Tanzania,38139640,52.517,1107.482182
1952,Asia,Thailand,21289402,50.848,757.7974177
1957,Asia,Thailand,25041917,53.63,793.5774148
1962,Asia,Thailand,29263397,56.061,1002.199172
1967,Asia,Thailand,34024249,58.285,1295.46066
1972,Asia,Thailand,39276153,60.405,1524.358936
1977,Asia,Thailand,44148285,62.494,1961.224635
1982,Asia,Thailand,48827160,64.597,2393.219781
1987,Asia,Thailand,52910342,66.084,2982.653773
1992,Asia,Thailand,56667095,67.298,4616.896545
1997,Asia,Thailand,60216677,67.521,5852.625497
2002,Asia,Thailand,62806748,68.564,5913.187529
2007,Asia,Thailand,65068149,70.616,7458.396327
1952,Africa,Togo,1219113,38.596,859.8086567
1957,Africa,Togo,1357445,41.208,925.9083202
1962,Africa,Togo,1528098,43.922,1067.53481
1967,Africa,Togo,1735550,46.769,1477.59676
1972,Africa,Togo,2056351,49.759,1649.660188
1977,Africa,Togo,2308582,52.887,1532.776998
1982,Africa,Togo,2644765,55.471,1344.577953
1987,Africa,Togo,3154264,56.941,1202.201361
1992,Africa,Togo,3747553,58.061,1034.298904
1997,Africa,Togo,4320890,58.39,982.2869243
2002,Africa,Togo,4977378,57.561,886.2205765
2007,Africa,Togo,5701579,58.42,882.9699438
1952,Americas,Trinidad and Tobago,662850,59.1,3023.271928
1957,Americas,Trinidad and Tobago,764900,61.8,4100.3934
1962,Americas,Trinidad and Tobago,887498,64.9,4997.523971
1967,Americas,Trinidad and Tobago,960155,65.4,5621.368472
1972,Americas,Trinidad and Tobago,975199,65.9,6619.551419
1977,Americas,Trinidad and Tobago,1039009,68.3,7899.554209
1982,Americas,Trinidad and Tobago,1116479,68.832,9119.528607
1987,Americas,Trinidad and Tobago,1191336,69.582,7388.597823
1992,Americas,Trinidad and Tobago,1183669,69.862,7370.990932
1997,Americas,Trinidad and Tobago,1138101,69.465,8792.573126
2002,Americas,Trinidad and Tobago,1101832,68.976,11460.60023
2007,Americas,Trinidad and Tobago,1056608,69.819,18008.50924
1952,Africa,Tunisia,3647735,44.6,1468.475631
1957,Africa,Tunisia,3950849,47.1,1395.232468
1962,Africa,Tunisia,4286552,49.579,1660.30321
1967,Africa,Tunisia,4786986,52.053,1932.360167
1972,Africa,Tunisia,5303507,55.602,2753.285994
1977,Africa,Tunisia,6005061,59.837,3120.876811
1982,Africa,Tunisia,6734098,64.048,3560.233174
1987,Africa,Tunisia,7724976,66.894,3810.419296
1992,Africa,Tunisia,8523077,70.001,4332.720164
1997,Africa,Tunisia,9231669,71.973,4876.798614
2002,Africa,Tunisia,9770575,73.042,5722.895655
